,Year,Urban population,Rural population,"Population, female","Population, male (% of total population)","Population, total",Population growth (annual %),"Birth rate, crude (per 1,000 people)","Mortality rate, infant (per 1,000 live births)",GDP (current US$),"Inflation, GDP deflator (annual %)",GNI (current US$),Gross national expenditure (current US$),"Total reserves (includes gold, current US$)","Services, value added (current US$)",Merchandise exports (current US$),Merchandise imports (current US$),Military expenditure (current USD),Adjusted savings: education expenditure (current US$),Food production index (2014-2016 = 100)
0,1960,10157722,35796504,21159049,53.95625203,45954226,,45.749,184.9,3749265015,,3743805557,3975850483,327400600,1367702646,400000000,827000000,208845208.8,,
1,1961,10589176,36471739,21697194,53.89551181,47060915,2.379701227,45.76,178.7,4118647627,3.646461287,4113188164,4439941201,261302470,1489920202,424000000,594000000,210105210.1,,14.19
2,1962,10957300,37204541,22231652,53.83969645,48161841,2.312420064,45.647,172.9,4310163797,0.159948178,4304913711,4641747165,269316859,1577068459,407000000,834000000,200340200.3,,14.94
3,1963,11345748,37979302,22798530,53.77900073,49325050,2.386503858,45.503,167.4,4630827383,-1.149266054,4618647398,4984460311,307832196,1665476690,407000000,985000000,219660219.7,,15.5
4,1964,11756511,38796081,23398883,53.71378188,50552592,2.458215452,45.298,162.5,5204955901,4.488446478,5191095684,5604787904,254226648,1848173037,469000000,1070000000,257880257.9,,15.92
5,1965,12188485,39653141,24030852,53.64564182,51841626,2.517919718,45.091,157.9,5929231415,3.165882653,5904242167,6518059639,230344688,2216505670,550000000,968000000,439635439.6,,16.65
6,1966,12644969,40554445,24698014,53.57465028,53199414,2.585396396,44.831,154,6561108778,4.60065831,6530659168,6914111718,208453006,2624737505,634000000,916000000,549675549.7,,16.66
7,1967,13126447,41503346,25401143,53.50312969,54629793,2.653201202,44.579,150.6,7464510710,7.939641766,7414511761,7961150777,165486080,2897942041,680000000,1112000000,478275478.3,,17.78
8,1968,13632139,42492604,26136537,53.43134667,56124743,2.699737371,44.201,147.6,8041999160,0.469288568,7976000544,8368962621,258389140,3068248635,292000000,533000000,492555492.6,,19.24
9,1969,14160809,43515996,26900599,53.35976395,57676805,2.727833264,43.724,144.8,8683116338,2.335571407,8608117913,9005249895,332933120,3297354053,332000000,713000000,552720552.7,,19.8
