area,year,male,female,urban,rural,total
Pakistan,1960,24795177,21159049,10157722,35796504,45954226
Pakistan,1961,25363721,21697194,10589176,36471739,47060915
Pakistan,1962,25930189,22231652,10957300,37204541,48161841
Pakistan,1963,26526520,22798530,11345748,37979302,49325050
Pakistan,1964,27153709,23398883,11756511,38796081,50552592
Pakistan,1965,27810774,24030852,12188485,39653141,51841626
Pakistan,1966,28501400,24698014,12644969,40554445,53199414
Pakistan,1967,29228650,25401143,13126447,41503346,54629793
Pakistan,1968,29988206,26136537,13632139,42492604,56124743
Pakistan,1969,30776206,26900599,14160809,43515996,57676805
Pakistan,1970,31594424,27696448,14714216,44576656,59290872
Pakistan,1971,32382254,28496527,15270833,45607948,60878781
Pakistan,1972,33192036,29317529,15848050,46661515,62509565
Pakistan,1973,34091251,30194373,16502763,47782861,64285624
Pakistan,1974,35033843,31115326,17202091,48947078,66149169
Pakistan,1975,36033414,32093585,17945333,50181666,68126999
Pakistan,1976,37095743,33135180,18738313,51492610,70230923
Pakistan,1977,38216473,34234632,19578462,52872643,72451105
Pakistan,1978,39396327,35393003,20468344,54320986,74789330
Pakistan,1979,40711907,36695434,21453445,55953896,77407341
Pakistan,1980,42323346,38300711,22627948,57996109,80624057
Pakistan,1981,44149229,40120973,23915883,60354319,84270202
Pakistan,1982,45930130,41898068,25135552,62692646,87828198
Pakistan,1983,47557447,43522925,26284885,64795487,91080372
Pakistan,1984,49019879,44983988,27356065,66647802,94003867
Pakistan,1985,50585068,46536484,28499348,68622204,97121552
Pakistan,1986,52349211,48269312,29771009,70847514,100618523
Pakistan,1987,54186251,50064842,31101229,73149864,104251093
Pakistan,1988,56068126,51899712,32476726,75491112,107967838
Pakistan,1989,57945451,53724935,33866278,77804108,111670386
Pakistan,1990,59844215,55569854,35289006,80125063,115414069
Pakistan,1991,61767894,57435675,36745692,82457877,119203569
Pakistan,1992,63389141,58986038,38030534,84344645,122375179
Pakistan,1993,65019628,60526987,39332499,86214116,125546615
Pakistan,1994,66919877,62325262,40818200,88426939,129245139
Pakistan,1995,68906276,64211200,42379280,90738196,133117476
Pakistan,1996,71012954,66221856,44041395,93193415,137234810
Pakistan,1997,73104662,68225605,45717515,95612752,141330267
Pakistan,1998,75217270,70258836,47403389,98072717,145476106
Pakistan,1999,77366201,72328261,49074335,100620127,149694462
Pakistan,2000,79746053,74623871,50914288,103455636,154369924
Pakistan,2001,82212668,77005059,52828442,106389285,159217727
Pakistan,2002,84278392,78984415,54497125,108765682,163262807
Pakistan,2003,86127264,80749416,56037189,110839491,166876680
Pakistan,2004,88049526,82599094,57646810,113001810,170648620
Pakistan,2005,89942008,84430090,59255126,115116972,174372098
Pakistan,2006,91810143,86259841,60871443,117198541,178069984
Pakistan,2007,93744002,88180519,62558385,119366136,181924521
Pakistan,2008,95745628,90186327,64313863,121618092,185931955
Pakistan,2009,97833203,92290019,66149573,123973649,190123222
Pakistan,2010,99987484,94467014,68053241,126401257,194454498
Pakistan,2011,102047023,96555715,69912136,128690602,198602738
Pakistan,2012,103831984,98373877,71597051,130608810,202205861
Pakistan,2013,105378643,99958919,73126866,132210696,205337562
Pakistan,2014,106815000,101436628,74593651,133657977,208251628
Pakistan,2015,107983708,102985590,76003799,134965499,210969298
Pakistan,2016,108894513,104630327,77368591,136156249,213524840
Pakistan,2017,110003086,106376569,78853074,137526581,216379655
Pakistan,2018,111438323,108293156,80566744,139164735,219731479
Pakistan,2019,113015043,110278237,82410851,140882429,223293280
Pakistan,2020,114815642,112381099,84437669,142759072,227196741
Pakistan,2021,116815853,114586264,86636953,144765164,231402117
Pakistan,2022,118960880,116863982,88979079,146845783,235824862
